Strategy,Years,CAGR_%,Max_DD_%,Calmar,Sharpe,Sortino,Vol_%,Beta,Alpha_%,Best_Year_%,Worst_Year_%,Final_$,N_Switches,Pct_Defensive_%,Vol_Thresh_%,Exit_Weeks,Signal_Type,Methodology
[EntryDeb] H8b_SPYvol>=15pct_deb2w,,28.3,-20.16,1.404,1.276,2.031,,,,,,,,,,,,entry_debounce
[EntryDeb] H8b_asymmetric(fast_in_3w_out),,26.09,-20.16,1.294,1.229,1.916,,,,,,,,,,,,entry_debounce
[ExitDeb] Deb_SPYvol12pct_exit1w,22.5,25.83,-20.19,1.279,1.269,2.07,17.7,0.393,19.89,112.2,-17.5,17578022.0,131.0,50.9,12.0,1.0,SPY_Vol,exit_debounce
[ExitDeb] Deb_SPYvol15pct_exit1w,22.5,26.85,-21.18,1.268,1.239,1.933,19.0,0.43,20.49,105.0,-17.5,21095724.0,72.0,34.2,15.0,1.0,SPY_Vol,exit_debounce
[EntryDeb] H8b_SPYvol>=15pct_deb1w,,26.85,-21.18,1.268,1.239,1.933,,,,,,,,,,,,entry_debounce
"[ExitDeb] H8b_baseline (SPYvol>=15, exit=1w)",22.5,26.85,-21.18,1.268,1.239,1.933,19.0,0.43,20.49,105.0,-17.5,21095724.0,72.0,34.2,,,SPY_Vol,exit_debounce
[ExitDeb] Deb_SPYvol12pct_exit3w,22.5,25.35,-20.19,1.256,1.279,2.087,17.2,0.38,19.57,106.1,-17.5,16140524.0,79.0,60.7,12.0,3.0,SPY_Vol,exit_debounce
[ExitDeb] Deb_SPYvol12pct_exit4w,22.5,25.12,-20.19,1.244,1.281,2.084,17.0,0.378,19.37,106.1,-17.5,15475159.0,71.0,64.0,12.0,4.0,SPY_Vol,exit_debounce
[ExitDeb] Deb_SPYvol12pct_exit2w,22.5,25.09,-20.19,1.242,1.255,2.028,17.4,0.385,19.33,107.7,-17.5,15386715.0,101.0,56.4,12.0,2.0,SPY_Vol,exit_debounce
[EntryDeb] H8_Avol>=25pct_deb3w,,25.14,-20.41,1.231,1.182,1.857,,,,,,,,,,,,entry_debounce
[EntryDeb] H8_Avol>=25pct_deb1w,,25.08,-20.41,1.229,1.239,2.035,,,,,,,,,,,,entry_debounce
[EntryDeb] H8_Avol>=25pct_deb2w,,25.02,-20.41,1.226,1.2,1.898,,,,,,,,,,,,entry_debounce
A: 80%SysE/20%R3 static,22.5,29.2,-24.35,1.199,1.235,1.942,20.8,0.482,22.08,155.3,-21.3,31876473.0,0.0,0.0,,,SPY_Vol,exit_debounce
[EntryDeb] H8b_SPYvol>=15pct_deb3w,,27.72,-23.16,1.197,1.243,1.959,,,,,,,,,,,,entry_debounce
[EntryDeb] H3_CompRisk>=50_deb1w,,28.39,-23.77,1.195,1.269,2.09,,,,,,,,,,,,entry_debounce
[ExitDeb] Deb_SPYvol18pct_exit1w,22.5,27.79,-23.48,1.184,1.245,1.935,19.6,0.448,21.14,114.1,-21.0,24899982.0,58.0,23.2,18.0,1.0,SPY_Vol,exit_debounce
[EntryDeb] H3_CompRisk>=50_deb2w,,28.04,-23.77,1.18,1.231,1.953,,,,,,,,,,,,entry_debounce
[EntryDeb] H9c_deb2w,,28.34,-24.35,1.164,1.212,1.89,,,,,,,,,,,,entry_debounce
[ExitDeb] Deb_SPYvol18pct_exit2w,22.5,27.17,-23.45,1.158,1.225,1.894,19.5,0.446,20.66,113.4,-20.9,22298519.0,50.0,25.7,18.0,2.0,SPY_Vol,exit_debounce
[ExitDeb] Deb_SPYvol20pct_exit1w,22.5,27.99,-24.35,1.15,1.222,1.889,20.2,0.459,21.28,126.3,-21.0,25803502.0,58.0,19.0,20.0,1.0,SPY_Vol,exit_debounce
[ExitDeb] Deb_SPYvol15pct_exit2w,22.5,26.27,-22.98,1.143,1.226,1.902,18.8,0.422,20.08,106.6,-17.5,19008568.0,64.0,37.3,15.0,2.0,SPY_Vol,exit_debounce
[ExitDeb] Deb_SPYvol18pct_exit4w,22.5,26.85,-23.67,1.134,1.227,1.895,19.2,0.44,20.42,99.7,-21.2,21101492.0,44.0,29.9,18.0,4.0,SPY_Vol,exit_debounce
[ExitDeb] Deb_SPYvol20pct_exit2w,22.5,27.54,-24.35,1.131,1.213,1.858,20.0,0.456,20.92,125.7,-21.0,23823624.0,50.0,21.4,20.0,2.0,SPY_Vol,exit_debounce
[ExitDeb] Deb_SPYvol18pct_exit3w,22.5,26.73,-23.67,1.129,1.212,1.862,19.4,0.445,20.31,104.1,-21.2,20652044.0,48.0,27.8,18.0,3.0,SPY_Vol,exit_debounce
[ExitDeb] Deb_SPYvol15pct_exit3w,22.5,25.85,-23.11,1.118,1.221,1.889,18.6,0.417,19.78,92.6,-17.5,17656537.0,56.0,40.0,15.0,3.0,SPY_Vol,exit_debounce
[ExitDeb] Comp_SPYvol15_OR_Warn2_exit1w,22.5,24.37,-21.84,1.116,1.25,2.055,17.0,0.366,18.9,120.1,-17.5,13518621.0,275.0,75.3,15.0,1.0,Composite,exit_debounce
D: 15%vol-target on A (always),22.5,22.35,-20.17,1.108,1.25,2.062,15.5,0.349,17.22,103.0,-17.5,9352344.0,0.0,100.0,,,SPY_Vol,exit_debounce
[ExitDeb] Deb_SPYvol20pct_exit3w,22.5,26.9,-24.35,1.105,1.195,1.819,19.9,0.454,20.41,115.7,-21.0,21255701.0,44.0,23.6,20.0,3.0,SPY_Vol,exit_debounce
